dataset,variable_name,variable_title,variable_type,variable_length,variable_role,formula,missing
INSURANCE_DATA,SID,Record ID,C,23,F, , 
INSURANCE_DATA,POLICY_TYPE,New or Renewal,C,7,F, , 
INSURANCE_DATA,ISWON,Bound Label ,N,8,L, , 
INSURANCE_DATA,UNDERWRITER,Underwriter ID,C,18,F, , 
INSURANCE_DATA,STATE,State,C,14,F, , 
INSURANCE_DATA,INDUSTRY,Industry,C,23,F, , 
INSURANCE_DATA,DECLINED_REASON,Reason to Decline,C,38,F, , 
INSURANCE_DATA,EFFECTIVE_MONTH,Policy Effective Month,C,3,F, , 
INSURANCE_DATA,EMPLOYEES,Number of employees,N,8,F, , 
INSURANCE_DATA,EFFECTIVE_YEAR,Policy Effective Year,N,8,F, , 
INSURANCE_DATA,MARKET_SEGMENT,Market Segment,C,23,F, , 
INSURANCE_DATA,PLACING_BROKER,Broker ID,C,18,F, , 
INSURANCE_DATA,POLICY_LIMIT,Policy Limit,N,8,F, , 
INSURANCE_DATA,COVERAGE,Policy Coverage,C,84,F, , 
INSURANCE_DATA,DEDUCTIBLE,Deductible,N,8,F, , 
INSURANCE_DATA,PREMIUM,Premium,N,8,F, , 
INSURANCE_DATA,APPLICATION_DATE,Application Date,N,8,F, , 
INSURANCE_DATA,BOUND_DATE,Bound Date,N,8,F, , 
INSURANCE_DATA,EXPIRING_PREMIUM,Premium of Expiring Policy,N,8,F, , 
INSURANCE_DATA,COMMISSION_PERCENT,Commission Percent,N,8,F, , 
